id,origin,destination,arrival,board,alight,route,board_stop
B1-6,B1,B2,21.784556798355432,22.192494774261636,,B,B1
A2-2,A2,A3,15.630504608909126,25.047401153748947,,A,A2
A2-3,A2,A3,17.95086797925072,25.089067820415615,,A,A2
A2-4,A2,A3,18.090842865024637,25.130734487082282,,A,A2
B3-11,B3,B3,20.361608048399027,25.709261315642895,,B,B3
B3-12,B3,B3,23.69847575707734,25.750927982309562,,B,B3
B2-7,B2,B3,23.638807512653223,26.13167638707524,,B,B2
A1-10,A1,A3,18.727486436057678,26.793986382271783,,A,A1
A1-11,A1,A2,19.583080084173925,26.83565304893845,,A,A1
A1-12,A1,A2,20.650356031767135,26.87731971560512,,A,A1
A1-13,A1,A2,22.910995454572273,26.918986382271786,,A,A1
A3-6,A3,A3,30.658615721791477,31.25724469397535,,A,A3
A3-7,A3,A3,30.890025550225637,31.298911360642016,,A,A3
B1-7,B1,B2,22.295528297125195,31.91194376664507,,B,B1
B1-8,B1,B2,31.02754612896576,31.953610433311738,,B,B1
B1-9,B1,B2,31.818947236987825,31.995277099978406,,B,B1
A2-5,A2,A3,27.692534414596732,33.78261865119444,,A,A2
B1-10,B1,B3,32.9220147358125,36.26977994771707,,B,B1
